league_id,title,year,season,group,rank,up_flg,down_flg,remarks
200611,2006 年度 男子 春リーグ,2006,1,4,3,,,
200612,2006 年度 女子 春リーグ,2006,1,4,6,,1,
200621,2006 年度 男子 秋リーグ,2006,2,4,5,,,
200622,2006 年度 女子 秋リーグ,2006,2,5,2,,,
200711,2007 年度 男子 春リーグ,2007,1,4,6,,1,
200712,2007 年度 女子 春リーグ,2007,1,5,5,,,
200721,2007 年度 男子 秋リーグ,2007,2,5,5,,,
200722,2007 年度 女子 秋リーグ,2007,2,5,5,,,
200811,2008 年度 男子 春リーグ,2008,1,5,3,,,
200812,2008 年度 女子 春リーグ,2008,1,5,6,,1,
200821,2008 年度 男子 秋リーグ,2008,2,5,3,,,
200822,2008 年度 女子 秋リーグ,2008,2,6,2,,,
200911,2009 年度 男子 春リーグ,2009,1,5,3,,,
200912,2009 年度 女子 春リーグ,2009,1,6,1,1,,
200921,2009 年度 男子 秋リーグ,2009,2,5,4,,,
200922,2009 年度 女子 秋リーグ,2009,2,5,3,,,
201011,2010 年度 男子 春リーグ,2010,1,5,4,,,
201012,2010 年度 女子 春リーグ,2010,1,5,4,,,
201021,2010 年度 男子 秋リーグ,2010,2,5,4,,,
201022,2010 年度 女子 秋リーグ,2010,2,5,2,,,
201111,2011 年度 男子 春リーグ,2011,1,0,0,,,中止
201112,2011 年度 女子 春リーグ,2011,1,0,0,,,中止
201121,2011 年度 男子 秋リーグ,2011,2,5,3,,,
201122,2011 年度 女子 秋リーグ,2011,2,5,2,,,
201211,2012 年度 男子 春リーグ,2012,1,5,2,,,
201212,2012 年度 女子 春リーグ,2012,1,5,1,,,
201221,2012 年度 男子 秋リーグ,2012,2,5,2,,,
201222,2012 年度 女子 秋リーグ,2012,2,5,1,1,,
201311,2013 年度 男子 春リーグ,2013,1,5,2,,,
201312,2013 年度 女子 春リーグ,2013,1,4,1,,,
201321,2013 年度 男子 秋リーグ,2013,2,5,3,,,
201322,2013 年度 女子 秋リーグ,2013,2,4,3,,,
201411,2014 年度 男子 春リーグ,2014,1,5,4,,,
201412,2014 年度 女子 春リーグ,2014,1,4,3,,,
201421,2014 年度 男子 秋リーグ,2014,2,5,2,,,
201422,2014 年度 女子 秋リーグ,2014,2,4,2,,,
201511,2015 年度 男子 春リーグ,2015,1,5,2,,,
201512,2015 年度 女子 春リーグ,2015,1,4,4,,,
201521,2015 年度 男子 秋リーグ,2015,2,5,4,,,
201522,2015 年度 女子 秋リーグ,2015,2,4,6,,,
201611,2016 年度 男子 春リーグ,2016,1,5,4,,,
201612,2016 年度 女子 春リーグ,2016,1,4,6,,1,
201621,2016 年度 男子 秋リーグ,2016,2,5,2,,,
201622,2016 年度 女子 秋リーグ,2016,2,5,4,,,
201711,2017 年度 男子 春リーグ,2017,1,5,2,,,
201712,2017 年度 女子 春リーグ,2017,1,5,5,,,
201721,2017 年度 男子 秋リーグ,2017,2,5,1,,,
201722,2017 年度 女子 秋リーグ,2017,2,5,5,,,
201811,2018 年度 男子 春リーグ,2018,1,5,2,,,
201812,2018 年度 女子 春リーグ,2018,1,5,3,,,
201821,2018 年度 男子 秋リーグ,2018,2,5,1,1,,
201822,2018 年度 女子 秋リーグ,2018,2,5,5,,,
201911,2019 年度 男子 春リーグ,2019,1,4,5,,,
201912,2019 年度 女子 春リーグ,2019,1,5,5,,,
201921,2019 年度 男子 秋リーグ,2019,2,4,4,,,
201922,2019 年度 女子 秋リーグ,2019,2,5,4,,,
